peak_index,mz,mass_resolution,snr,intensity,base_peak_ratio,fwhm
740,445.1735,13471,15,166,0.1,0.033
741,445.217,11442,12.3,135,0.1,0.0389
742,446.1177,11512,14.7,162,0.1,0.0388
743,446.1844,10662,12.1,133,0.1,0.0418
744,447.1336,29546,293.7,3242,2.6,0.0151
745,447.2148,10597,11.1,123,0.1,0.0422
746,447.2518,20134,13.5,149,0.1,0.0222
747,447.2872,28020,22.5,248,0.2,0.016
748,448.1369,26465,66.2,730,0.6,0.0169
749,448.2005,12500,16.1,177,0.1,0.0359
750,449.1132,14288,13.7,151,0.1,0.0314
751,449.1398,12786,24.4,269,0.2,0.0351
752,449.2047,16996,12.7,140,0.1,0.0264
